from.x,from.y,to.x,to.y
-79.8748643367008,40.450877762828895,-79.8755428062396,40.450052363143
-79.8756402395141,40.4600229441977,-79.8756112919504,40.4605659151891
-79.8756417801773,40.4599950419051,-79.8756402395141,40.4600229441977
-79.87565784197709,40.4595479181464,-79.8756417801773,40.4599950419051
-79.8759993309104,40.45923393882449,-79.87565784197709,40.4595479181464
-79.8765402789825,40.460585896897996,-79.8757318125312,40.460568932862
-79.875868642735,40.457112135244,-79.8757773452731,40.457594155285
-79.8795324527929,40.454934813703105,-79.8757773452731,40.457594155285
-79.87621318387029,40.4515933757632,-79.8758256766526,40.4518429909693
-79.8792391189986,40.454680741241496,-79.875868642735,40.457112135244
-79.8758838576191,40.4565399604965,-79.875868642735,40.457112135244
-79.8757773452731,40.457594155285,-79.8758783636986,40.4581475464343
-79.87768603757941,40.457093712457,-79.8758783636986,40.4581475464343
-79.8758986801527,40.4560693858314,-79.8758838576191,40.4565399604965
-79.8759332750866,40.455014454011796,-79.8758986801527,40.4560693858314
-79.8785323812388,40.4541264091661,-79.8758986801527,40.4560693858314
-79.87600079320191,40.4527661296776,-79.8759332750866,40.455014454011796
-79.8781535872335,40.453826456588395,-79.8759808915371,40.4554417495756
-79.87654165224009,40.458876621280396,-79.8759993309104,40.45923393882449
-79.8766396170503,40.45931163106,-79.8759993309104,40.45923393882449
-79.8764214006341,40.4524546402556,-79.87600079320191,40.4527661296776
-79.8765837840395,40.4512920724781,-79.87621318387029,40.4515933757632
-79.8758838576191,40.4565399604965,-79.8763397996058,40.4562368306064
-79.8771418187466,40.451862537514295,-79.8764214006341,40.4524546402556
-79.87671761984659,40.458891489093105,-79.87654165224009,40.458876621280396
-79.877161882312,40.458510745297396,-79.87654165224009,40.458876621280396
-79.8780001366439,40.4574646174919,-79.8765526061032,40.4583262335016
-79.8759332750866,40.455014454011796,-79.8765602145702,40.4545371457041
-79.8769059733532,40.454280597083795,-79.8765602145702,40.4545371457041
-79.87657499611171,40.449794833295606,-79.8765837840395,40.4512920724781
-79.87713742944409,40.4512959565765,-79.8765837840395,40.4512920724781
-79.877280860141,40.4593861474021,-79.8766396170503,40.45931163106
-79.8768868525258,40.45890472211,-79.87671761984659,40.458891489093105
-79.87708962782821,40.4589265632111,-79.8768868525258,40.45890472211
-79.8778462202893,40.4535830213718,-79.8769059733532,40.454280597083795
-79.8773711450632,40.4589613872714,-79.87708962782821,40.4589265632111
-79.877128958595,40.449847713874604,-79.87713742944409,40.4512959565765
-79.87713742944409,40.4512959565765,-79.8771418187466,40.451862537514295
-79.877876469666,40.4585864885119,-79.877161882312,40.458510745297396
-79.878304436294,40.4578096181335,-79.877161882312,40.458510745297396
-79.8788826203775,40.4591396089421,-79.8773711450632,40.4589613872714
-79.87794088969841,40.45946043509071,-79.87748625942871,40.459409728625396
-79.8797075491062,40.4553289549593,-79.87768603757941,40.457093712457
-79.87856068891129,40.4512932642741,-79.87769475638709,40.4513026016146
-79.87769261122409,40.4499015178651,-79.87769475638709,40.4513026016146
-79.87769475638709,40.4513026016146,-79.87770472087149,40.4523163857833
-79.8771418187466,40.451862537514295,-79.87770472087149,40.4523163857833
-79.8764214006341,40.4524546402556,-79.8778462202893,40.4535830213718
-79.878304436294,40.4578096181335,-79.877876469666,40.4585864885119
-79.87768603757941,40.457093712457,-79.8780001366439,40.4574646174919
-79.877876469666,40.4585864885119,-79.8781247298957,40.4586079174697
-79.8778462202893,40.4535830213718,-79.8781535872335,40.453826456588395
-79.8788978667231,40.4532643658417,-79.8781535872335,40.453826456588395
-79.8780001366439,40.4574646174919,-79.878304436294,40.4578096181335
-79.8785767892778,40.449882799669204,-79.8783124129358,40.449921540255296
-79.8788985322303,40.450936696826,-79.8785160701203,40.45100406260129
-79.8783124129358,40.449921540255296,-79.8785160701203,40.45100406260129
-79.8781535872335,40.453826456588395,-79.8785323812388,40.4541264091661
-79.8785160701203,40.45100406260129,-79.87856068891129,40.4512932642741
-79.87949338837609,40.44971117096871,-79.8785767892778,40.449882799669204
-79.87856068891129,40.4512932642741,-79.87875824783829,40.452371519371795
-79.878304436294,40.4578096181335,-79.87876988452041,40.4583032898532
-79.8792675578927,40.45709024626311,-79.87876988452041,40.4583032898532
-79.8792442969166,40.4591422792235,-79.8788826203775,40.4591396089421
-79.87770472087149,40.4523163857833,-79.8788978667231,40.4532643658417
-79.87875824783829,40.452371519371795,-79.8788978667231,40.4532643658417
-79.8785767892778,40.449882799669204,-79.8788985322303,40.450936696826
-79.8808287691176,40.4505844164326,-79.8788985322303,40.450936696826
