Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65209E+11,2.74545E+11,2.96658E+11,2.71567E+11,2.50897E+11,2.53395E+11,2.6529E+11,3.01193E+11,3.76692E+11,4.02252E+11,4.00764E+11,4.39494E+11,4.26344E+11,4.21842E+11,4.62554E+11,5.20064E+11,6.24539E+11,7.49116E+11,8.70268E+11,9.83264E+11,1.2355E+12,1.4922E+12,1.24863E+12,1.28102E+12,1.40719E+12,1.31793E+12,1.39014E+12,
Europe and Central Asia (IFC classification),CEU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,22953068954,27582698230,33830223659,45496506754,52431628871,60110547987,62874717607,67152808753,93913291475,1.05565E+11,1.12532E+11,1.03062E+11,1.05632E+11,1.05257E+11,1.00501E+11,1.01901E+11,1.46075E+11,1.82938E+11,1.97908E+11,1.91081E+11,2.44022E+11,2.46904E+11,2.57022E+11,2.49967E+11,2.76721E+11,3.23972E+11,3.12031E+11,2.7227E+11,2.78904E+11,2.73548E+11,2.56043E+11,2.62647E+11,2.86658E+11,3.34575E+11,3.74224E+11,3.84755E+11,4.05183E+11,4.5053E+11,5.24289E+11,5.09466E+11,5.49105E+11,6.58867E+11,6.31183E+11,6.50377E+11,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4705377500,5502763243,5482749434,5794301527,6053790468,7013580346,6913560997,7074820186,8179771226,8981111664,10694569522,11532517864,16387454417,15535549706,7226476865,9857547849,13359145454,15399431310,20729772211,27572307600,32644872980,24339421605,19770402077,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,1.00631E+11,1.24404E+11,1.54671E+11,1.73006E+11,1.79858E+11,1.72323E+11,2.17502E+11,2.51162E+11,2.66259E+11,2.77199E+11,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,49557050183,46685178504,50097303271,59062254890,69709153115,75879434776,72057028560,69993497892,78718820478,91506211306,98562023844,1.1216E+11,1.3677E+11,1.42255E+11,1.61162E+11,1.51628E+11,1.72349E+11,1.4818E+11,1.76634E+11,1.89401E+11,1.9411E+11,2.03181E+11,2.28454E+11,2.5743E+11,3.06668E+11,2.97831E+11,2.70373E+11,3.09523E+11,3.43974E+11,3.56937E+11,3.79469E+11,4.22661E+11,4.40501E+11,5.59224E+11,7.28008E+11,8.56085E+11,9.52653E+11,1.01946E+12,1.08328E+12,1.19847E+12,1.32481E+12,1.45383E+12,1.64096E+12,1.93164E+12,2.2569E+12,2.71295E+12,3.49406E+12,4.52183E+12,4.99023E+12,5.9305E+12,7.32189E+12,8.22949E+12,9.24027E+12,
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,618245635,645284474.6,761047198.8,921063326.1,919771228.1,1024102882,1082922726,1281281278,1361360292,1455482795,1584128511,1849400398,2508421426,3070152314,3893839184,4662053820,6265068200,7900526290,9142933956,10175617589,8432589956,7567110856,6838184772,6841639250,6977650648,9158302111,10087654451,10255169812,9757410630,10795850584,10492628588,11152971284,11045760269,8313557515,11000146269,12139234220,11722213507,12782570246,12556457527,10417060605,10545285037,11486664265,13737482343,15481092596,16363437145,17367303156,19795705245,23414253328,23041633638,22920779598,24074553674,24680372724,30905260389,
Latin America and the Caribbean (IFC classification),CLA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,657597317,699373631,723624330.7,782384403.8,814140009.3,853268764.3,934078958.2,1053076992,1152418382,1160002329,1233991071,1430951432,1758727647,2255496517,2752770609,3076592634,3366368801,4409920571,5811443663,6740757493,7636346056,7322913600,7381853865,7801858401,8148223552,10621157923,12302473329,12493286837,11140057046,11151578703,12434368416,11396311478,13532152215,9220467286,8733227081,9732338099,9840550361,9629642600,10486456218,9287367569,9633109257,10879778328,13621809574,15775356737,16587921221,17953103009,20431779034,23735537026,22165009363,22493301699,25486923059,26472637887,29274957493,
